batch_norm,batch_size,bits,builtin_profiler,data_dir,dataset,dtype,epochs,gpus,kvstore,log_interval,lr,lr_factor,lr_steps,mode,model,momentum,num_workers,optimizer,prefix,profile,resume,save_frequency,seed,start_epoch,use_pretrained,use_thumbnail,wd,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,41,,.,0.843650,0.993890,0.862320,0.995873,0.843650,0.993890,0.862320,0.995873
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,42,,.,0.833033,0.991687,0.865214,0.995695,0.833033,0.991687,0.865214,0.995695
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,43,,.,0.838341,0.992288,0.864643,0.996374,0.838341,0.992288,0.864643,0.996374
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,44,,.,0.837941,0.994491,0.867929,0.995733,0.837941,0.994491,0.867929,0.995733
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,45,,.,0.834836,0.992989,0.869101,0.996173,0.834836,0.992989,0.869101,0.996173
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,46,,.,0.844251,0.992889,0.872516,0.995813,0.844251,0.992889,0.872516,0.995813
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,47,,.,0.838141,0.991787,0.871254,0.996014,0.838141,0.991787,0.871254,0.996014
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,48,,.,0.843750,0.994091,0.873818,0.996675,0.843750,0.994091,0.873818,0.996675
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,49,,.,0.842578,0.992578,0.874083,0.996512,0.842578,0.992578,0.874083,0.996512
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,50,,.,0.840445,0.994692,0.877885,0.996334,0.840445,0.994692,0.877885,0.996334
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,51,,.,0.830529,0.990885,0.877083,0.996354,0.830529,0.990885,0.877083,0.996354
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,52,,.,0.841647,0.992989,0.880341,0.996811,0.841647,0.992989,0.880341,0.996811
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,53,,.,0.838241,0.991587,0.879728,0.997075,0.838241,0.991587,0.879728,0.997075
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,54,,.,0.834535,0.992288,0.880108,0.996895,0.834535,0.992288,0.880108,0.996895
False,256,1,0,/home/joseph/systematic-evaluation/data/imagenet1k,cifar10,float32,150,0,device,50,0.01,0.3,"75,100,125",imperative,resnet18_v1,0.9,4,adam,model,False,,10,123,0,False,,0.0,55,,.,0.841046,0.992989,0.882175,0.996891,0.841046,0.992989,0.882175,0.996891
